patient,paired_normal,paired_tumor
TCGA-BH-A18R,10725.0192455,7236.58589304
TCGA-BH-A0DK,2556.58451995,6972.31757512
TCGA-BH-A0B8,4918.66979494,3699.9489407
TCGA-A7-A13E,5622.21700258,14346.2562755
TCGA-AC-A2FM,24510.0339907,23784.5308384
TCGA-BH-A0DZ,6413.70620678,7172.86362234
TCGA-BH-A209,6396.20020558,5965.054474000001
TCGA-E9-A1N4,10654.0825379,5019.21496655
TCGA-BH-A18S,1837.25362429,2605.81565939
TCGA-BH-A18K,19422.2952526,12247.6890992
TCGA-AC-A23H,3532.87138096,3473.4798846
TCGA-BH-A18L,5232.40785991,3160.16548207
TCGA-BH-A0DG,6448.52515177,14548.762062
TCGA-BH-A18P,4896.1366218,3861.81275422
TCGA-AC-A2FB,3396.47249914,4850.50442214
TCGA-BH-A0BM,10745.5158291,2465.41333271
TCGA-BH-A1FU,16922.3294368,5589.52277493
TCGA-BH-A0DL,14536.5604746,16021.9993775
TCGA-E9-A1N9,10131.6422701,5800.12928488
TCGA-BH-A0H7,12336.8239143,2595.19443521
